fragment,score
[16*]c1ccc(O)c([16*])c1,0.022065223217357707
[16*]c1cccc(C)c1,0.021221322594604807
[16*]c1cc([16*])cc([16*])c1,0.019787705375424437
[4*]CC(C)C,0.01234863463108568
[9*]n1c([14*])nc2ccc(Cl)cc21,0.0
[12*]S(=O)(=O)c1cccs1,0.0
[7*]CC(C)C,0.0
[3*]OS(=O)(=O)c1ccc(C)cc1,0.0
[14*]c1[nH]c2ccc(Cl)cc2c1[16*],0.0
[15*][C@]12CC[C@H](C3=CC(=O)OC3)[C@@]1(C)CC[C@H]1[C@H]2CC[C@H]2C[C@H]3O[C@@H]4O[C@H](C)C[C@@]5(NC(=O)CS5)[C@]4(O)O[C@@H]3C[C@@]21C=O,0.0
[16*]c1cc2c(c([16*])c1[16*])OCO2,0.0
[5*]N(C)C,0.0
[5*]N([5*])[5*],0.0
[15*]C1CC1,0.0
[16*]c1ccc(F)c(F)c1F,0.0
[16*]c1c(F)cccc1F,-0.016645135482923675
[4*]CC,-0.1130959302815799
[16*]c1cc(F)c([16*])c(F)c1,-0.13293266030656947
[16*]c1ccccc1,-0.21664508558325687
[16*]c1ccc([16*])cc1,-0.22799334677890615
[7*]C1C(=O)Nc2ccc(Br)cc21,-0.27099575616933236
[6*]C(=O)C[8*],-0.3242398967533999
[7*]C1SC(=O)N([10*])C1=O,-0.34633750921745554
[16*]c1cc([16*])c(O)c([16*])c1,-0.3694860478698869
[8*]CC=C,-0.3694860478698869
[14*]c1[nH]c2ccc(C)cc2c1[16*],-0.39170807106166355
[16*]c1c[nH]c2ccccc12,-0.43459906346792715
[7*]CC1=Cc2cccc([16*])c2OC1,-0.44878771664198147
[7*]C1SC(=O)N(C)C1=O,-0.4567339758684244
[7*]C1C(=O)Nc2ccccc21,-0.4876698695946447
[8*]CC,-0.5669721308691014
[7*]CC1=Cc2cc(Br)ccc2OC1,-0.6510705851369544
[1*]C(=O)CC[8*],-0.6813784548318784
[5*]N1CCc2sccc2C1,-0.848608442484677
[7*]C1SC(=O)NC1=O,-0.8701017491748739
[8*]CCN,-0.8896522270552878
[7*]C1SC(=S)NC1=O,-1.002012770912238
[7*]CC1=Cc2ccccc2OC1,-1.0485621913625545
[7*]CC1=Cc2cc(Br)ccc2OC1C,-1.0485621913625545
[10*]N1C(=O)CSC1=O,-1.1517834408564516
