descriptor
MinEStateIndex
MolWt
FpDensityMorgan1
PEOE_VSA9
VSA_EState1
MolLogP
SpDiam_A
VR1_A
ATS0s
ATSC3c
ATSC5c
ATSC1p
MATS3s
GATS3dv
GATS5dv
GATS7Z
GATS2i
BCUTc-1h
BCUTd-1h
C1SP2
Xc-3dv
Xc-5dv
Xpc-4dv
SdssC
AETA_eta_F
SIC2
SIC3
ZMIC1
ZMIC2
FilterItLogS
AMID_N
