ChEMBL_ID,canonical_smiles,activity_flag
CHEMBL4585340,CCN1CCN(CCCOc2cc3nccc(Oc4ccc(C5SCC(=O)N5NC(=O)Nc5ccc(F)cc5F)cc4F)c3cc2OC)CC1,active
CHEMBL4584914,CCN1CCN(CCOc2cc3nccc(Oc4c(F)cc(NC(=O)NN5C(=O)CSC5c5c(F)cccc5F)cc4F)c3cc2OC)CC1,active
CHEMBL3793638,CCOc1cc([C@@H]2SCC(=O)N2NC(=O)c2cnc(C)cn2)ccc1O,inactive
CHEMBL3794581,CCOc1cc([C@H]2SCC(=O)N2NC(=O)c2nccnc2N)ccc1O,inactive
CHEMBL262615,CCOc1ccc(/C=C2/SC(=O)N(CCN)C2=O)cc1,inactive
CHEMBL363555,CCOc1ccc(/C=C2\SC(=O)N(CCN)C2=O)cc1,inactive
CHEMBL3261543,CCOc1ccc(N2C(=O)CSC2c2cccc(Br)c2)cc1,active
CHEMBL5273830,CCc1ccccc1-n1nc(-c2c[nH]c3ccc(OC)cc23)cc1/N=C1/NC(=O)CS1,inactive
CHEMBL5271989,CCc1ccccc1-n1nc(-c2c[nH]c3ccccc23)cc1/N=C1/NC(=O)CS1,inactive
CHEMBL5277541,CCc1ccccc1-n1nc(-c2cn(C)c3ccc(Br)cc23)cc1/N=C1/NC(=O)CS1,inactive
CHEMBL5290235,CCc1ccccc1-n1nc(-c2cn(C)c3ccc(OC)cc23)cc1/N=C1/NC(=O)CS1,inactive
CHEMBL5276640,CCc1ccccc1-n1nc(-c2cn(C)c3ccccc23)cc1/N=C1/NC(=O)CS1,inactive
CHEMBL5280534,CCc1ccccc1-n1nc(-c2cn(CC)c3ccc(Br)cc23)cc1/N=C1/NC(=O)CS1,inactive
CHEMBL5286192,CCc1ccccc1-n1nc(-c2cn(CC)c3ccc(OC)cc23)cc1/N=C1/NC(=O)CS1,inactive
CHEMBL5270461,CCc1ccccc1-n1nc(-c2cn(CC)c3ccccc23)cc1/N=C1/NC(=O)CS1,inactive
CHEMBL5268900,CCc1ccccc1-n1nc(-c2cn(Cc3ccccc3)c3ccccc23)cc1/N=C1/NC(=O)CS1,inactive
CHEMBL4281869,CCn1c(/C=C2\SC(=S)N(CC(=O)O)C2=O)nc2ccccc21,active
