fragment,value,rank
[5*]N[5*],5,1
[3*]OC,5,2
[5*]N1CCOCC1,5,3
[3*]O[3*],5,4
[1*]C([6*])=O,5,5
[14*]c1n[nH]c2ccc([16*])cc12,5,6
[8*]CO,5,7
[5*]N1CCCS1(=O)=O,5,8
[14*]c1nc2cc([16*])ccc2[nH]1,5,9
[4*]CCC[4*],5,10
[1*]C(=O)NN1C(=O)CSC1[13*],5,11
[16*]c1cc2nccc([16*])c2cc1[16*],5,12
[1*]C(=O)C[8*],4,13
[7*]C[8*],4,14
[8*]CC,3,15
[16*]c1c(F)cccc1F,3,16
[6*]C(=O)C[8*],2,17
[5*]N1CCN([5*])CC1,2,18
[7*]C1SC(=O)N([10*])C1=O,2,19
[9*]n1c([14*])nc2ccccc21,1,20
[4*]CC[8*],1,21
