Selected Features
PJI2
SIC2
VE2sign_D/Dt
J_Dz(p)
MATS8e
GATS1i
GATS7i
GATS8i
JGI8
SpMax3_Bh(m)
SpMin2_Bh(v)
SpMin2_Bh(e)
SpMin2_Bh(i)
nRNH2
nThiophenes
C-016
C-040
C-041
N-066
N-075
CATS2D_08_DD
CATS2D_05_AA
CATS2D_05_PL
T(Cl..Br)
B06[N-S]
B08[S-Br]
B09[N-O]
B10[C-C]
F03[C-N]
F08[O-Cl]
F08[S-Br]
