,0
[15*]C1CCC([15*])CC1,-0.06059523653243964
[14*]c1cccs1,-0.06222256360675727
[14*]c1cnccn1,-0.062388648569374476
[6*]C(=O)NN1C(=O)CSC1[13*],-0.06685431649211077
[15*]C1CCC(Br)CC1,-0.07594920545439783
[15*]C1CCC(C)CC1,-0.07594920545439783
[10*]N1C(=O)C([13*])S/C1=N\c1ccc(I)cc1,-0.07673350152258254
[16*]c1cccnc1,-0.0816301100261473
[16*]c1ccc2c(c1)OCO2,-0.08357210303055268
[10*]N1C(=O)C([13*])S/C1=N\c1ccc(C)cc1,-0.08406305350403054
[16*]c1cn(C)c2ccccc12,-0.08893220291599038
[7*]C1CCNC(=O)c2c1c1ccccc1n2C,-0.08934018555055884
[5*]N(C)C,-0.09040462431870314
[9*]n1cc([16*])c2cc(Br)ccc21,-0.11689868621307209
[7*]C1SC(=O)N(C)C1=O,-0.11910277618056637
[15*]C1CC1,-0.11979348277927267
[4*]CCC,-0.11979348277927267
[16*]c1ccc2c(c1)c([16*])cn2C,-0.12088803222990904
[16*]c1cn(C)c2ccc(Br)cc12,-0.12376352081026305
[16*]c1ccccc1,-0.12832159590461112
[5*]NC,-0.13537385842983515
[9*]n1cc([16*])c2ccccc21,-0.14047535311089598
[14*]c1nccnc1N,-0.14250735670535994
[14*]c1ccc2ccccc2n1,-0.1482494058042478
[16*]c1cccc(O)c1,-0.1482494058042478
[16*]c1ccccc1[16*],-0.14862875254195593
[8*]CBr,-0.1491200674791841
[16*]c1ccc(Cl)cc1,-0.15016671219387143
[10*]N1C(=O)C([13*])S/C1=N\c1ccccc1,-0.1505746555995836
[14*]c1ncccn1,-0.1555172865893569
[6*]C(=O)NN1C(=O)CS[C@H]1[13*],-0.15913408432312925
[16*]c1ccc([16*])c([16*])c1,-0.1624177164564182
[14*]c1ncn[nH]1,-0.16295255989487573
[16*]c1ccc2[nH]cc([16*])c2c1,-0.16673238261644735
[9*]n1cc([16*])c2cc([16*])ccc21,-0.1888209813158305
[16*]c1cccc([N+](=O)[O-])c1,-0.19186943506189413
[7*]CC1=Cc2cc(Br)ccc2OC1,-0.19437878830500263
[5*]N([5*])[5*],-0.2040991832617463
[7*]C1CCNC(=O)c2[nH]ccc21,-0.20614120157033886
[6*]C(=O)NN1C(=O)CS[C@@H]1[13*],-0.2061871939705865
[4*]CC=C,-0.20725289899239416
[16*]c1ccncc1,-0.2128416400659152
[7*]CC1=Cc2cccc([16*])c2OC1,-0.2199303197146126
[10*]N1C(=O)C(C)SC1[13*],-0.22068224694688812
[14*]c1cnc(C)cn1,-0.22727958951109217
[7*]C1CCNC(=O)c2c1ccn2C,-0.2296734703897091
[16*]c1ccccc1F,-0.23274289786730654
[16*]c1ccccc1Cl,-0.24593187808043054
[8*]C[8*],-0.25271381246681635
[14*]c1[nH]c2ccc(C)cc2c1[16*],-0.25291124941958265
[8*]C(C)(C)C,-0.2627924485884357
[14*]c1nccs1,-0.28639195356511926
[16*]c1cc([16*])c(O)c([16*])c1,-0.3018638427488407
[8*]CC=C,-0.3018638427488407
[8*]CC[8*],-0.3107363147660221
[12*]S(=O)(=O)c1cccs1,-0.32222547014577135
[16*]c1cc2c(c([16*])c1[16*])OCO2,-0.32222547014577135
[7*]CC1=Cc2cc(Br)ccc2OC1C,-0.34028033240262395
[14*]c1cn2c([14*])cnc2s1,-0.35634121663509893
[16*]c1ccc(F)cc1,-0.3721051839074654
[7*]CC1=Cc2ccccc2OC1,-0.40481813116016774
[5*]N1/C(=N/c2ccccc2)SCC1([13*])O,-0.4115730438248406
[14*]c1ccc([N+](=O)[O-])s1,-0.412711962436485
[4*]CCC[8*],-0.4372569726405464
[15*]C1CCCCC1,-0.44302436239865717
[7*]C1S/C(=N/CC[8*])NC1=O,-0.4444002691128233
[16*]c1ccc(O)c([16*])c1,-0.45070165323836736
[9*]n1c([14*])nc2cc(F)ccc21,-0.4621943474166453
[16*]c1c[nH]c2ccccc12,-0.47089794753347813
[16*]c1ccc(F)c(F)c1,-0.4830006240276924
[5*]N1/C(=N/c2ccc([16*])cc2)SCC1([13*])O,-0.5402531937085098
[16*]c1cccc(F)c1,-0.5606592404551151
[5*]N1C(=S)SCC1([13*])O,-0.5629025378909788
[7*]C1SC(=S)NC1=O,-0.6190316744110648
[10*]N1C(=O)CSC1=O,-0.6216056774169761
[8*]CCN,-0.6572925640685465
[9*]n1c([14*])nc2ccc([16*])cc21,-0.6592958132404966
[5*]N1CCc2sccc2C1,-0.8214930304872143
[9*]n1nc([14*])cc1/N=C1/NC(=O)CS1,-1.029149484911614
[14*]c1nnc([14*])s1,-1.074028803745242
[13*]C1SC(=O)NC1=O,-1.074028803745242
[6*]C(=O)O,-1.423128725902986
